Event,Start_Date,End_Date,Location,Lead_Component,Partner_Agencies,Personnel,Status,Budget,Notes
National Law Enforcement Training Conference (NLETC),2026-03-09,2026-03-11,Nashville TN,EOUSA,FBI/DEA/ATF/USMS/BOP,450,Completed,850000,Annual multi-component training conference; 92% satisfaction rating
DOJ Senior Leadership Forum (Q1),2026-04-14,2026-04-15,Washington DC,OAG,All Components,120,Completed,425000,Quarterly DAG leadership alignment meeting; OSC-26 AAR presented
Civil Rights Summit,2026-05-04,2026-05-06,Atlanta GA,Civil Rights Division,OJP/FBI/EOUSA,310,Completed,680000,Voting rights and police accountability training; 28 state AG offices participated
Cybercrime Enforcement Symposium,2026-05-18,2026-05-20,San Francisco CA,FBI,DEA/Secret Service/DHS/FinCEN,280,Confirmed,920000,Dark web investigations and ransomware response techniques
Drug Enforcement Training Symposium (DETS),2026-06-08,2026-06-12,Quantico VA,DEA,ATF/FBI/CBP/HSI,560,Confirmed,1250000,Narcotics investigation interdiction and fentanyl supply chain analysis
Firearms Investigations Symposium,2026-06-22,2026-06-24,Glynco GA,ATF,FBI/HSI/State and Local LE,340,Confirmed,780000,Firearms tracing eTrace training and trafficking network investigation techniques
Human Trafficking Task Force Exercise,2026-07-13,2026-07-17,Los Angeles CA,FBI,HSI/DHS/OJP/State and Local LE,280,Confirmed,640000,Multi-agency anti-trafficking coordination and victim identification exercise
Tribal Law Enforcement Summit,2026-07-27,2026-07-29,Albuquerque NM,OJP,FBI/BIA/Tribal PDs/State LE,390,Confirmed,590000,Tribal jurisdiction coordination and Public Safety Enhancement Initiative
DOJ Senior Leadership Forum (Q2),2026-08-11,2026-08-12,Washington DC,OAG,All Components,120,Confirmed,425000,Mid-year program review; FY2027 budget alignment
DOJ Priorities Review (DPR),2026-09-14,2026-09-15,Washington DC,OAG,All Components,150,Scheduled,310000,Annual component directors briefing for DAG; FY2027 priorities alignment
Violence Against Women Training Event,2026-09-28,2026-09-30,Chicago IL,OVW,FBI/USMS/State and Local LE/Tribal,420,Scheduled,730000,VAWA grant recipient training and trauma-informed practices
Anti-Corruption Training Initiative (ACTI),2026-10-05,2026-10-08,Washington DC,Criminal Division,FBI/OIG/IRS-CI,290,Scheduled,850000,Public corruption investigation and prosecution techniques
National Victim Services Conference,2026-10-19,2026-10-21,Orlando FL,OJP,EOUSA/FBI/USMS/Victim Advocates,510,Scheduled,960000,Victim services best practices and trauma-informed advocacy
Fugitive Apprehension Coordination Exercise,2026-11-02,2026-11-06,Various (Multi-City),USMS,FBI/DEA/State and Local LE,680,Scheduled,1100000,Multi-district fugitive operations coordination drill; incorporates OSC-26 lessons
Financial Crimes Training Conference,2026-11-16,2026-11-18,New York NY,Criminal Division MLARS,FBI/IRS-CI/FinCEN/SEC,350,Scheduled,890000,Money laundering asset forfeiture and cryptocurrency investigation techniques
Environmental Crimes Symposium,2026-12-07,2026-12-09,Denver CO,ENRD,FBI/EPA OIG/State LE/State AGs,240,Scheduled,540000,Environmental law enforcement prosecution and multistate coordination
AG End-of-Year Leadership Summit,2026-12-14,2026-12-15,Washington DC,OAG,All Components,180,Scheduled,480000,Annual program review and FY2027 priorities alignment with AG
