Component,Budget_Allocation,Q1_Spend,Q2_Spend,Q3_Spend,Q4_Projected,Primary_Category,Notes
FBI Cyber Division,6500000,1425000,1680000,1590000,1700000,Contracts,Dark Web Disruption Initiative contracts on track; Q3 contractor surge for infrastructure assessment
DEA Intelligence Center,3800000,890000,920000,1100000,1050000,Personnel,Analyst hiring backlog cleared in Q3; projected $160K overspend from overtime
ATF Firearms Tracing Program,2400000,540000,560000,680000,750000,Technology,New eTrace system deployment in Q3-Q4; Q4 hardware costs may exceed allocation
BOP Recidivism Reduction Programs,4100000,870000,910000,895000,920000,Training,First Step Act programming on budget; Q3 dip due to contract renewal delay
USMS Fugitive Operations,2700000,620000,650000,710000,680000,Personnel,Warrant service costs up 9% from travel/fuel; Q3 surge tied to OSC-26 fugitive operations
OJP VOCA Grant Administration,5200000,1290000,1250000,1310000,1290000,Grants,Victim compensation grants distributed per schedule; administrative costs stable
Civil Rights Division Enforcement,1850000,420000,445000,510000,475000,Personnel,Voting rights litigation costs elevated in Q3 from expert witness fees
Criminal Division MLARS,2300000,510000,540000,580000,620000,Personnel,Money laundering prosecutions up 18% YoY; staff overtime driving Q4 projection
EOUSA Priority Districts Initiative,3100000,720000,755000,800000,825000,Personnel,SUA prosecution travel costs driving Q3-Q4 increase; District 5 exceeding allocation
National Security Division,2950000,680000,720000,745000,760000,Contracts,FISA-related contractor costs stable; Q4 projection includes new FISA reform compliance review
